,max_ti,dur,r2,slope,ltl
u:iLid,17.0,714662.0,0.6777887167582529,1.870026726359486e-05,ende
u:ixDz,9.0,197067.0,0.8259287849749121,2.9869028615252137e-05,ende
u:hrIP,17.0,610500.0,0.9095058824630591,2.1794267354734185e-05,enit
u:fnIy,10.0,768075.0,0.9332098245130879,1.3787400064017774e-05,enfr
u:e8mn,18.0,944119.0,0.6309125448498208,1.9630161973299224e-05,ende
u:h4Fb,4.0,87419.0,0.7543669636185674,2.8823656134410603e-05,pten
u:g8TQ,77.0,991966.0,0.9469089027708399,6.76440573994357e-05,enit
u:hEDz,15.0,253282.0,0.5809273867664857,4.183574389160344e-05,ende
u:iaaB,4.0,2055.0,0.9528693703261715,0.0019367263624515678,esen
u:i273,41.0,355986.0,0.9383222769241285,0.00013437428414093489,enes
u:inr,7.0,605104.0,0.7486905988840601,1.2241071465590417e-05,ende
u:hl0d,3.0,434459.0,0.6035840418265365,4.626576088542992e-06,esen
u:Vwm,4.0,248244.0,0.5153713214040536,1.0308024293490093e-05,esen
u:gou2,9.0,822547.0,0.6787902536861621,1.0049008651557567e-05,iten
u:f9JT,13.0,335501.0,0.7627375475902194,2.8846781051729353e-05,enit
u:iBC7,19.0,443323.0,0.6013391212025154,2.3862061933315782e-05,enfr
u:hswu,9.0,341347.0,0.8066432939036484,2.083766448792766e-05,ende
u:i4o5,14.0,431519.0,0.9251775539427269,2.680290639882598e-05,esen
u:fy0Q,136.0,951133.0,0.8137349322496368,0.0001344524130923645,enes
u:cV5K,10.0,341971.0,0.7401112492354366,2.423543700906371e-05,enes
u:FO-,8.0,133519.0,0.9438082619147695,4.9779223074409014e-05,ende
u:ekaF,6.0,871586.0,0.5967740184412955,4.970071172563086e-06,esen
u:gn_j,8.0,170329.0,0.8275059997086486,4.1695241471658295e-05,enfr
u:fb-O,11.0,746655.0,0.8670257039783398,1.3978061164383668e-05,enes
u:fCnb,4.0,286428.0,0.6907921518699308,1.0605544666767955e-05,enfr
u:fpQW,6.0,206381.0,0.8007001190727231,1.9664955967118285e-05,pten
u:i9CJ,33.0,311601.0,0.7931350955076069,0.00011830225694035488,ende
u:bIay,12.0,521887.0,0.7392273926628792,1.4625664915794309e-05,ende
u:e7Ib,2.0,612955.0,0.7503609562671456,2.4483394580911993e-06,pten
u:hpOQ,4.0,82808.0,0.5071736670707602,3.0537361865498594e-05,enit
u:f_gw,3.0,355766.0,0.8122123300561807,6.935364528532852e-06,iten
u:eX8f,24.0,566049.0,0.711976880790791,3.210341551503526e-05,esen
u:g-0D,10.0,423441.0,0.9105659061783109,1.733139080761571e-05,enes
u:dkiD,216.0,1015424.0,0.8735548053106079,0.00021269082176103183,esen
u:hkoJ,8.0,945000.0,0.9563411355046938,7.962170994938782e-06,pten
u:iviK,36.0,150156.0,0.4578443933674933,0.0001560576863770019,enes
u:ier7,32.0,674859.0,0.8211459315135439,4.2910743084019475e-05,esen
u:h3jH,27.0,203564.0,0.854124275810139,8.350163413835944e-05,enit
u:iTj7,23.0,353556.0,0.7794868511784511,4.059507534971231e-05,esen
u:i7SL,18.0,242428.0,0.5712749252292953,4.982608318937567e-05,enes
u:iTVj,29.0,735993.0,0.8249517449466106,2.453115696252483e-05,enes
u:hxZ0,47.0,708721.0,0.8863284651221306,7.379243087331926e-05,enfr
u:hM-z,20.0,943852.0,0.9252083718437752,1.9151811563554112e-05,enes
u:h_uY,56.0,798035.0,0.9106263078348092,7.345786379556768e-05,esen
u:etA,10.0,603279.0,0.8868994025918038,1.4008552300975572e-05,enfr
u:i-4t,21.0,69571.0,0.44884240770095224,0.00024377831720208645,esen
u:eo14,18.0,786175.0,0.9109388915809529,1.9086145363762663e-05,enes
u:izL9,19.0,862548.0,0.9334371397974027,2.122037116985988e-05,pten
u:h4Lv,15.0,695038.0,0.8517509602815124,2.082701682335289e-05,esen
u:c33p,7.0,650750.0,0.8405813284292,7.825998126434665e-06,esen
u:hg_s,12.0,16144.0,0.8273193606098528,0.000906416665448616,esen
u:faaV,51.0,424763.0,0.8492405063952784,0.00012237059594661883,enfr
u:fZ4x,25.0,837699.0,0.4756651699006605,2.666006039075125e-05,ende
u:iQ3m,14.0,396893.0,0.5926270875529368,3.153274512351046e-05,esen
u:iWWi,24.0,684733.0,0.8385946377540653,2.649358302302773e-05,ende
u:jdQg,15.0,87554.0,0.883447464909978,0.00011594731862178676,ende
u:i7xy,34.0,346380.0,0.8571360891162517,8.806590599796925e-05,enit
u:fKJq,22.0,859959.0,0.9363396981099646,2.736987242578871e-05,enfr
u:iEdu,16.0,874309.0,0.5807296147602811,2.0150939001964653e-05,enfr
u:dquK,2.0,51104.0,0.76126854958715,2.9792914432809566e-05,esen
u:ioyg,15.0,622422.0,0.9032602858145795,1.9451082778246945e-05,esen
