,max_ti,dur,r2,slope,ltl
u:gS9O,7.0,935914.0,0.7925568628036018,4.47908919176524e-06,iten
u:fBmk,8.0,2113.0,0.9925112482120926,0.003736630162058452,esen
u:eISy,3.0,295228.0,0.8993161066268327,8.558842598602258e-06,enes
u:hBqi,13.0,762151.0,0.8423812516046795,1.2666788596957302e-05,enfr
u:dvCf,69.0,913115.0,0.9858463575563938,7.336364502863339e-05,esen
u:iTjA,13.0,696966.0,0.8745624902148567,1.2161821114105467e-05,enfr
u:ijPw,18.0,865792.0,0.9248486507252109,1.7518467051048353e-05,esen
u:ih7u,27.0,626048.0,0.7971605068504896,3.8655891644652476e-05,iten
u:cJcn,9.0,347585.0,0.6847056285001261,1.5216594653701864e-05,pten
u:c699,36.0,947964.0,0.9009415767407367,4.961480310794021e-05,esen
u:iMTz,122.0,952184.0,0.9377501723856574,0.00012516750752835287,enit
u:ij5H,4.0,2453.0,0.9910935277781011,0.0015435189655475796,enit
u:iaOG,83.0,935680.0,0.9769580470336173,7.984523230343679e-05,enit
u:dQ40,2.0,1138.0,0.9979194663970707,0.0017538127704693684,enfr
u:gDTZ,4.0,3670.0,0.8888618496204744,0.0008732310144616115,esen
u:hy7N,5.0,609436.0,0.681819165620598,6.555699572275065e-06,pten
u:f9h,4.0,891932.0,0.7559256096300101,2.8361288195553443e-06,enes
u:hBN2,7.0,83281.0,0.34973772042670426,4.9801776774702e-05,ende
u:i2mG,63.0,435116.0,0.9623960445152029,0.0001183002932390244,enes
u:fJFV,5.0,3555.0,0.9696198841932316,0.0014286127529683482,esen
u:dlfs,13.0,2488.0,0.9195055618731439,0.004670093883556365,pten
u:iWeN,16.0,449161.0,0.8660541565581935,2.7079102906444348e-05,enes
u:fGIe,18.0,952495.0,0.8277044418150458,1.5699946730854228e-05,esen
u:hsDg,6.0,199770.0,0.7539016318467961,1.766569033951833e-05,enes
u:g4VS,5.0,92313.0,0.8886694746348047,4.15776254339011e-05,enit
u:gv6k,7.0,149723.0,0.7388856498909765,4.057491634873968e-05,enes
u:f4Uw,23.0,686195.0,0.8728574395538357,3.061212258074485e-05,enpt
u:gmHl,43.0,861567.0,0.7443258105702477,4.9050173609848394e-05,iten
u:cuyh,4.0,347399.0,0.7520241188359779,7.221287122764453e-06,esen
u:e4KH,33.0,439154.0,0.9360701470778648,7.557562262794881e-05,esen
u:iLrH,17.0,800456.0,0.9127155441221274,1.6778503178805318e-05,enes
u:iSLZ,18.0,108861.0,0.8195649145659021,0.00012034581370258398,esen
u:hW6I,36.0,885287.0,0.9702767094043254,4.160791916347881e-05,enfr
u:iS_B,30.0,670660.0,0.7962058351419049,4.6529366853802776e-05,pten
u:g0ld,21.0,777958.0,0.4423016425677914,2.060067649684654e-05,pten
u:hXW-,12.0,5034.0,0.8367077425470154,0.0026826059462276147,esen
u:fOf9,8.0,88275.0,0.32582624527551934,5.426367645524512e-05,pten
u:h6T2,26.0,684438.0,0.8093578459327834,2.916532858439159e-05,esen
u:iCvW,25.0,328252.0,0.525521131194625,6.69455652912066e-05,enes
u:r2h,3.0,678.0,0.999739654428842,0.0044472404556443156,esen
u:hwhJ,8.0,1572.0,0.9901203627827047,0.004756002062842229,enes
u:b7T5,3.0,514417.0,0.943982689369974,5.129540606274858e-06,enit
u:fsdw,21.0,686559.0,0.7588501173411399,2.632766842543455e-05,esen
u:2mx,47.0,646886.0,0.8130593877691701,8.548245888521106e-05,enpt
u:hRGc,9.0,171034.0,0.9294081749457613,4.346986816544961e-05,enfr
u:eSpG,17.0,713349.0,0.5768757273224409,1.5437326337106174e-05,enit
u:dtt6,13.0,326310.0,0.72288130820896,3.1504238824518045e-05,enit
u:hSpd,9.0,66306.0,0.7010384790396549,8.202670254058069e-05,enes
u:iVO7,5.0,2427.0,0.9966903119593519,0.00211496064742193,esen
u:g-Tc,6.0,688593.0,0.9462768310746231,8.074019632487706e-06,enes
u:iDRM,38.0,843356.0,0.8239146831528101,3.0353390141820548e-05,enes
u:hUtO,7.0,681195.0,0.7996140837917615,6.254692285770286e-06,enfr
u:h7Jp,13.0,968021.0,0.3996938890678926,7.574139606004328e-06,ende
u:i153,8.0,335823.0,0.5267071657274184,1.3470662404543653e-05,enfr
u:igXa,8.0,815072.0,0.7875229741616846,9.065388311477481e-06,enes
u:ubz,39.0,1011874.0,0.9353637903604366,3.068279205445038e-05,enes
u:bhUj,6.0,8072.0,0.9407939824411026,0.0006523745389521998,pten
u:iRIB,7.0,677667.0,0.9253783126654942,9.065720158234369e-06,enes
u:iILp,22.0,620384.0,0.8999760395930061,2.897680772603482e-05,enpt
u:fheL,4.0,609294.0,0.750577416966339,4.107257122066467e-06,enfr
u:h9En,14.0,778294.0,0.8897455979082052,1.4322199128378227e-05,esen
u:iQw_,13.0,121691.0,0.7342440503117664,0.00013702375509535143,enes
u:f0mP,7.0,717458.0,0.7619542502695635,7.51471138427648e-06,enfr
u:iQDo,14.0,587978.0,0.8511929000622648,2.8424717986943443e-05,enfr
u:izZn,26.0,442150.0,0.8703593191030875,4.8747854862817815e-05,iten
u:h2cA,24.0,996662.0,0.858985305518505,2.462326927007872e-05,esen
u:iifD,4.0,1788.0,0.9256292568772162,0.001912852359737996,pten
u:hSYN,4.0,612169.0,0.8047405888447676,5.083192824669756e-06,esen
u:gjFQ,20.0,894217.0,0.9739846608847867,2.4246252700097556e-05,iten
u:hLgQ,29.0,950491.0,0.9136637484105962,2.5771787949047597e-05,esen
u:gZju,9.0,64028.0,0.7863063087130718,8.301513829036931e-05,enfr
u:i393,51.0,470151.0,0.8812580480810059,8.179346578844458e-05,enit
u:v1e,10.0,952241.0,0.9418682378330324,8.80746811174294e-06,enes
u:fTn4,3.0,427932.0,0.8012993390566348,4.685034999261167e-06,enfr
u:bIuc,7.0,247958.0,0.3386100221901543,1.6299842730160586e-05,ende
u:bna8,6.0,863693.0,0.8468451852837621,6.6330028407022775e-06,enit
u:fSEN,5.0,2037.0,0.8953806276935719,0.0025362837462993707,esen
u:iUbf,3.0,1170.0,0.806523776585038,0.0022030149592598687,enes
u:fIvK,50.0,780617.0,0.854652245546062,4.16721666977688e-05,enes
u:gLMm,22.0,952695.0,0.9524344364494444,2.3727332261123978e-05,esen
u:itCg,43.0,950565.0,0.8949911868612717,4.8154224916129985e-05,enfr
u:htX5,4.0,176868.0,0.6491517930800854,1.7829432093166123e-05,enfr
u:gxnQ,85.0,934313.0,0.9100368384261218,9.648842838924219e-05,enes
u:g7YI,90.0,709765.0,0.7001491973688059,8.366528373420684e-05,esen
u:iOdk,13.0,838353.0,0.8820249788857532,1.0184878192195292e-05,esen
u:bVB_,15.0,637180.0,0.2776023187849305,1.7132617372238216e-05,enfr
u:hwyl,8.0,520491.0,0.8734337587883352,1.2599140839145768e-05,enes
u:ibvh,7.0,126380.0,0.33717613602178453,3.190873046411793e-05,enes
u:iElQ,11.0,570774.0,0.8043056234893119,1.1313853225942962e-05,enes
u:fHbE,7.0,620608.0,0.7818632880009321,7.137170721537803e-06,esen
u:ilOv,35.0,606546.0,0.9325617429328559,5.065589868041324e-05,esen
u:6NL,17.0,608656.0,0.6724192778652265,2.455204244624128e-05,ende
u:epFl,18.0,636425.0,0.970747224716213,2.6057107935335885e-05,esen
u:hU3k,8.0,241826.0,0.7067002769860393,2.1624568737441445e-05,ende
u:hyzB,2.0,902.0,0.9893622195848003,0.0021937078039574293,esen
u:iysr,16.0,585281.0,0.9520789262368134,2.7160373283257885e-05,esen
u:gwwS,2.0,386086.0,0.7553476279124433,3.912846505247241e-06,esen
u:hcJc,32.0,943853.0,0.8101884658184408,2.4176081811590495e-05,enes
u:cLtR,8.0,345185.0,0.8140471129851783,2.228782243561625e-05,enes
u:gbkj,23.0,687942.0,0.8168675541082453,3.476929263652309e-05,enes
u:gPMt,26.0,875118.0,0.5251156540229494,3.434675676980994e-05,enpt
u:iJ_h,16.0,335045.0,0.7004025863626338,3.785408263712953e-05,pten
u:bvfs,11.0,760968.0,0.8591167589182271,1.3558589695848812e-05,enes
u:hdeh,11.0,626606.0,0.3330097423955021,1.1629131726560588e-05,esen
u:fjf3,13.0,187143.0,0.5097339947114915,5.831777320657619e-05,enes
u:iFVK,6.0,166510.0,0.8076660130480993,2.4095022449629573e-05,enes
u:itpG,20.0,691288.0,0.8027555361852137,3.9566541292490174e-05,enes
u:fQXG,11.0,188907.0,0.8919665710799394,4.686417882818677e-05,ende
u:hJVJ,16.0,336972.0,0.7690881789022486,3.2430375320233015e-05,enfr
u:ie90,17.0,255758.0,0.8931091454052223,4.452057234118039e-05,enit
u:djlJ,11.0,467595.0,0.9110291009232149,2.5086926405589746e-05,enfr
u:h7r2,4.0,880955.0,0.7799566076507971,4.422758784914362e-06,enes
u:c1dO,12.0,7512.0,0.9463366776856983,0.0015296299697933988,pten
u:6ed,35.0,471550.0,0.6270497524049841,6.258395301793979e-05,esen
u:ef4w,7.0,226428.0,0.7644501057128705,1.7771518183211827e-05,pten
u:i0J9,10.0,296933.0,0.4549134740391344,1.8672420885261532e-05,esen
u:h7m-,59.0,1002339.0,0.9689227333442045,5.640299875505088e-05,enit
u:bWeB,40.0,348547.0,0.7150877047240349,9.806906705554575e-05,enfr
u:hGB9,9.0,275941.0,0.5090180556348057,1.8732193044085372e-05,enfr
u:gSj,29.0,955601.0,0.8858960512660475,3.595100110112569e-05,ende
u:bx8J,11.0,4222.0,0.8756537422849033,0.0023537309238109245,esen
u:iiRO,14.0,82536.0,0.798494194326385,0.00010174951198352364,enes
u:iBTi,6.0,261147.0,0.7260575713019862,1.6843845537791758e-05,ende
u:i6hI,11.0,350082.0,0.8449204210206346,2.086352409208975e-05,enfr
u:fOoU,10.0,812478.0,0.7519581709556632,6.802594999232523e-06,pten
u:idc6,44.0,922570.0,0.823433247003176,5.5148895153795314e-05,enit
u:iRc7,17.0,382876.0,0.9264516707990378,4.593284406906066e-05,enfr
u:h5sX,30.0,864291.0,0.8385069932537367,2.7058441784247864e-05,esen
u:g2Mk,7.0,606623.0,0.7150403994172723,6.6042621749501565e-06,esen
u:hQ04,27.0,613652.0,0.7411694664376963,4.643160519820735e-05,enit
u:Z2p,38.0,233012.0,0.6726269183589272,0.00013682164415366918,enes
u:ejO2,5.0,595686.0,0.8170918397874706,5.4254870755427616e-06,ende
u:ifN2,15.0,608478.0,0.8492010374017567,1.9983737224267583e-05,esen
u:hgqn,5.0,476096.0,0.7353113619872529,9.211186206055602e-06,enes
u:hr2G,9.0,808610.0,0.9195460252667456,8.180264624131996e-06,enfr
u:fOQe,5.0,1983.0,0.9648441212367483,0.0025446118787797595,ende
u:hpHo,5.0,752303.0,0.7768679834261036,6.150835988496949e-06,enes
u:h7rh,16.0,861434.0,0.946113869934468,1.8784638485083582e-05,iten
u:ipcC,6.0,690097.0,0.6216725382625812,6.969183104422362e-06,iten
u:blIM,79.0,263190.0,0.6800897461752974,0.00015525548703952566,esen
u:iGzp,16.0,898079.0,0.8333486412072684,1.2450049510468117e-05,esen
u:imsz,19.0,423517.0,0.7082445829025171,4.494629031813352e-05,esen
u:gcQh,5.0,770518.0,0.6544169890429912,5.93742909993273e-06,enfr
u:inyO,28.0,897344.0,0.9039466830448737,3.5952863034128155e-05,enfr
u:iWIj,55.0,612906.0,0.9420266482690052,7.929154393606174e-05,enes
u:fSwi,5.0,12425.0,0.8423772169426065,0.0003122030008999876,enes
u:gl4A,4.0,533689.0,0.9063112524363143,6.0245435943824405e-06,enes
u:gusD,6.0,515482.0,0.6079856923050162,9.283499905407094e-06,ende
u:ihI-,10.0,24179.0,0.6174706290735332,0.00029852835856791283,enpt
u:ioh4,17.0,594979.0,0.5056194320403541,2.209293786794391e-05,enes
u:hUV2,5.0,2044.0,0.9883214233148614,0.002465344581000652,pten
u:gXPG,21.0,350953.0,0.8365338893903801,5.1366593313826064e-05,esen
u:KHu,7.0,341934.0,0.8185239402693103,1.3120046610280915e-05,ende
u:dA8w,8.0,601204.0,0.48204487226131065,1.0306505299473263e-05,pten
u:hv4Y,96.0,896742.0,0.9376482282213328,0.0001036783027891147,ende
u:g6eW,3.0,86402.0,0.8074961761993992,2.3474340206557708e-05,iten
u:hDn6,16.0,462948.0,0.7802149174354315,3.289372956345107e-05,enpt
u:ecpg,7.0,619883.0,0.7678164405440432,7.940566083502695e-06,enes
u:iTbe,9.0,193191.0,0.7396015513681984,3.1182360229364344e-05,enfr
u:fXY8,20.0,831170.0,0.8882395392790674,1.8020832648140432e-05,enes
u:hkjc,49.0,908711.0,0.9279448431468076,4.125217008272141e-05,pten
u:id1n,12.0,850447.0,0.6809233628011578,9.956319568882954e-06,enfr
u:ff23,22.0,301706.0,0.8662775103252942,6.2471066274484e-05,enes
u:gnQ3,22.0,755098.0,0.9251935565940803,3.444195670731125e-05,enfr
u:iUH7,17.0,543691.0,0.45701663084102123,3.057595980362782e-05,enes
u:ja9a,21.0,178183.0,0.8001189459079893,8.23978688828357e-05,ende
u:gQ_J,4.0,33305.0,0.5259640068819865,7.830107885458025e-05,enfr
u:hpFB,6.0,57980.0,0.3907959590976907,6.209305687497357e-05,ende
u:i2nJ,47.0,109498.0,0.8607778412212677,0.0002934166599442997,pten
u:gL1x,67.0,944006.0,0.9749927590603202,6.810346317304946e-05,esen
u:iZZl,20.0,182984.0,0.8075572346906521,8.399658441185783e-05,pten
u:clAL,39.0,993014.0,0.9157782017633972,3.772509830751378e-05,enes
u:gJsY,35.0,1013959.0,0.9655068614340724,3.269094515074324e-05,enpt
u:fquw,31.0,858842.0,0.9063884119296906,2.555503842325204e-05,pten
u:i685,12.0,287681.0,0.6826723865451658,2.999732595942219e-05,enes
u:hIZY,4.0,94484.0,0.5191805082640295,2.727261070794988e-05,enes
u:gVxm,16.0,161897.0,0.20418305014382457,5.864673104759469e-05,enit
u:i-MX,9.0,5846.0,0.9449796062139058,0.0012829044004779942,enfr
u:djtN,13.0,354843.0,0.9243865523095688,3.050068763558862e-05,esen
u:hviY,5.0,94754.0,0.6936966704348216,3.212893115026448e-05,esen
u:iOAz,15.0,262075.0,0.9252389831734255,4.213399775066112e-05,enpt
u:fN4x,8.0,84365.0,0.8195109923605831,7.011068919385195e-05,enit
u:g-9i,24.0,827110.0,0.7052717962748036,1.792181747536792e-05,enes
u:gyaZ,231.0,945921.0,0.8950524371144577,0.0001785516768864535,esen
u:gRup,9.0,3052.0,0.9206878965535742,0.002573322202990476,esen
u:i4Xh,19.0,144567.0,0.7480160251419102,0.0001372888873149244,enfr
u:exhi,43.0,952137.0,0.6136722684929162,4.2502533822371995e-05,ende
u:iZ70,15.0,494062.0,0.722338751829161,2.958077053421738e-05,esen
u:h1rt,11.0,90790.0,0.4878077556409866,7.591913060481067e-05,enes
u:iQP9,21.0,482293.0,0.7153301679149379,2.8602935500978544e-05,ende
u:hqj0,88.0,959797.0,0.9759700425623455,8.242964564401038e-05,enes
u:dC7Q,31.0,711412.0,0.8919674526187029,5.0175722886021e-05,enes
u:i1C-,15.0,516135.0,0.9239523241956208,2.1843726980384275e-05,esen
u:izhr,12.0,424714.0,0.888310424512827,2.208784606064282e-05,enes
u:g6aL,10.0,149444.0,0.7096373258050653,3.760017467658989e-05,esen
u:hQWq,6.0,869.0,0.9957291724939269,0.006689159508116591,ende
u:hsuc,13.0,863312.0,0.8321855124069746,1.4638071220174938e-05,esen
u:hYDt,11.0,791751.0,0.7782998694277181,1.4236693429308608e-05,enes
u:h12e,26.0,458686.0,0.9300335892932845,4.896311000595954e-05,enes
u:dwDt,24.0,867279.0,0.8365186034867608,3.09606109766182e-05,pten
u:iPqY,25.0,610251.0,0.7028260620931568,4.068231267375154e-05,esen
u:ifKQ,9.0,2608.0,0.9677868772714429,0.003616297183907151,esen
u:hU2e,29.0,512879.0,0.930336598268576,4.5201399793528655e-05,ende
u:iO7a,31.0,223263.0,0.7926237335551001,0.00013637319993379702,enes
u:hn5b,10.0,589585.0,0.7009973954950744,9.347300413539657e-06,enes
u:iSFG,16.0,680609.0,0.8475901288756076,2.101313090376981e-05,enit
u:i7YH,16.0,174408.0,0.8180168196742666,7.319292078300778e-05,esen
u:jewx,13.0,7280.0,0.7497898783521159,0.0019167377092159134,enes
u:gZl1,22.0,837842.0,0.8820495654159811,1.8403990948390537e-05,enes
u:imzO,30.0,836120.0,0.816424991976953,2.9571087823340155e-05,esen
u:ilNl,20.0,852620.0,0.8462965523815374,1.7038374583668915e-05,enes
u:iJYb,22.0,160408.0,0.766027657163622,7.653861546573173e-05,esen
u:iY5B,20.0,517175.0,0.8674337857706365,3.767623838727074e-05,enit
u:gtLd,7.0,235257.0,0.7787388660764217,2.7491519912323187e-05,pten
u:hUUv,6.0,594274.0,0.8883091314385338,7.493334650962657e-06,enes
u:hf7a,11.0,1013577.0,0.5556872283362887,9.367694157042968e-06,esen
u:fNZX,4.0,523177.0,0.828676896485632,6.133122869301203e-06,enfr
u:iaUm,31.0,801494.0,0.7948334711273835,4.455827209125986e-05,ende
u:fZeI,8.0,858193.0,0.8965916234465098,8.94261773439442e-06,ende
u:hsQ1,24.0,660861.0,0.9293953315472252,3.3387903245376e-05,esen
u:hdTb,13.0,337662.0,0.79781549365532,2.4839702736883882e-05,enes
u:hv4m,3.0,4018.0,0.8570246408972109,0.0005528121272638914,esen
u:ghDl,8.0,21468.0,0.8116680315384284,0.00023854698139290487,esen
u:ivrz,4.0,160617.0,0.5508770387831141,1.6594281339861493e-05,enfr
u:hB6K,12.0,599761.0,0.9432908347058157,1.6018689948569537e-05,esen
u:i3S9,17.0,380404.0,0.5627220533732775,3.508947279262095e-05,enfr
u:hUC6,13.0,522542.0,0.8660944784828122,1.7845744940861353e-05,enfr
u:hMj6,17.0,281695.0,0.5609810226996541,3.3858085270778726e-05,ende
u:gnYU,10.0,843376.0,0.8221592142331385,8.51501491163266e-06,esen
u:hYHa,12.0,724530.0,0.8996227014121834,1.3633720593771667e-05,enes
u:Q9S,21.0,957942.0,0.8735570095967521,1.5882519638806944e-05,enes
u:iPZN,9.0,197141.0,0.854079381811501,3.3664580393774634e-05,enfr
u:iNr3,22.0,451878.0,0.9352182343882257,4.333383483767613e-05,enit
u:gOxL,5.0,6428.0,0.7565185247447569,0.000669113220612213,esen
u:LXy,12.0,183144.0,0.8322255851684476,5.955198574065652e-05,enes
u:fzid,3.0,1263.0,0.959336317983396,0.0024330112046243874,esen
u:fA4A,17.0,376644.0,0.26583786763630535,3.8977331100923124e-05,enfr
u:gHPg,43.0,884475.0,0.833690134738076,4.040472742879813e-05,iten
u:f0UG,54.0,953306.0,0.8661064376479601,5.1000689744049487e-05,enit
u:hKLT,5.0,105535.0,0.47725984354550893,3.0506474232170083e-05,esen
u:hML0,10.0,404676.0,0.7533992955247628,1.3718851595558179e-05,ende
u:ffdo,8.0,491008.0,0.922430242825435,1.473479348018642e-05,esen
u:bsdK,2.0,321.0,0.999453590781527,0.00622712517620889,enes
u:g5F5,5.0,2086.0,0.9959563656051498,0.0023021049264417017,esen
u:i42w,12.0,443333.0,0.9234276728866966,2.42232146474863e-05,enes
u:irl0,23.0,454826.0,0.8810983490186676,3.342068064344287e-05,enes
u:Ia_,10.0,702111.0,0.8538634456979501,1.0855357147602666e-05,enfr
u:iSvK,9.0,280006.0,0.9044999297193042,2.9863393541435498e-05,enes
u:hOI6,6.0,969308.0,0.8713363191414464,5.801459444090124e-06,ende
u:dPv,6.0,155572.0,0.7571808357327926,2.2883949010770244e-05,enit
u:guav,11.0,525334.0,0.8635490727955258,1.4404733606778e-05,enit
u:fzVX,13.0,944388.0,0.9053101563386144,1.1468266583638525e-05,enit
u:hXOV,3.0,709.0,0.9991955375652625,0.004266419887127508,enes
u:iNqs,32.0,940760.0,0.9490987368389745,3.6429821973140946e-05,esen
u:gVbj,13.0,237030.0,0.7822329333883756,5.723635667177426e-05,enes
u:iRCH,26.0,859252.0,0.8804627373763629,2.6891561960086284e-05,enfr
u:gWXn,12.0,533010.0,0.4118115592754492,1.2602502516833404e-05,pten
u:dppL,2.0,75337.0,0.7638926933525392,2.0279349943654224e-05,esen
u:dsN-,2.0,168612.0,0.9862917744289674,1.169895113549412e-05,enes
u:eV7d,5.0,193651.0,0.9435987635610171,2.1732564424007056e-05,esen
u:fE7G,5.0,2927.0,0.9425463667226363,0.0017789647775718434,enit
u:hQby,6.0,518964.0,0.7514486964754651,6.769461762192031e-06,enit
u:ffkb,8.0,184061.0,0.7063382684507244,2.645288299271488e-05,enes
u:cVHO,27.0,628566.0,0.92701135937592,3.155479110390458e-05,esen
u:ieXD,43.0,833360.0,0.7440774355146222,8.194854595347539e-05,enfr
u:RwK,210.0,925520.0,0.9842909760257859,0.00020703025233514093,ende
u:hRzw,5.0,3818.0,0.5649181867047132,0.0009638362354813768,ende
u:hGv2,12.0,7012.0,0.9413884795533262,0.0015265668449730505,esen
u:iOj9,10.0,413464.0,0.43573056858932957,1.8362850141360407e-05,enit
u:drNz,3.0,978.0,0.9999192041896507,0.0030757280965538316,esen
u:mTs,21.0,1004959.0,0.9797797345073488,2.1873103217829448e-05,enes
u:iFYJ,13.0,476845.0,0.8862049160180995,2.2758572708164616e-05,enit
u:icV2,3.0,1391.0,0.9726116776094227,0.0021787896003795312,esen
u:eTGc,16.0,196614.0,0.5337531795762348,4.9348179908270955e-05,enes
u:i_HJ,10.0,168191.0,0.7735636995273617,4.181476772344122e-05,enes
u:ixO2,45.0,259861.0,0.7732348774985719,0.00013567082335967138,pten
u:fE-b,18.0,932498.0,0.8788934089700859,2.211969996396382e-05,esen
u:f-wT,8.0,283701.0,0.6980214819633555,1.902320092197063e-05,iten
u:iLAg,15.0,772497.0,0.7012257196333104,2.0119332398603286e-05,esen
u:iD3m,18.0,121327.0,0.7302737601753648,8.795853854228202e-05,enes
u:cL5Z,14.0,725449.0,0.6723858793605323,1.2113162069378899e-05,pten
u:fJMB,37.0,975544.0,0.8030557019089294,2.6897273799940985e-05,ende
u:ewmu,2.0,1024.0,0.9826027417799077,0.0019191459800388824,esen
u:iXDa,24.0,93104.0,0.6164916681876009,0.0001491234667899963,enes
u:ggFK,21.0,833838.0,0.8037700926525464,2.4582933158420543e-05,enes
u:ixju,18.0,726933.0,0.7648814747154435,2.5532403716578606e-05,enfr
u:g0dz,10.0,605778.0,0.7451299107654827,1.1949829988334084e-05,esen
u:dizs,5.0,249153.0,0.8739585414985732,1.5350642033773043e-05,enes
u:f9ct,6.0,657545.0,0.884094966474686,7.106185196623777e-06,esen
u:gtYu,6.0,515935.0,0.7139343401186983,8.31931318707589e-06,ende
u:iebW,32.0,602413.0,0.6211260393276704,4.107595282345596e-05,pten
u:er32,6.0,263261.0,0.8865303822634356,2.1968271532209383e-05,enfr
u:gd6O,6.0,38158.0,0.6372094646224394,9.421048884761729e-05,ende
u:bVTZ,11.0,521029.0,0.9564235554137326,1.8805876677858194e-05,pten
u:eyR4,7.0,93275.0,0.6720410937544791,5.74863791593826e-05,enfr
u:gHfQ,7.0,3514.0,0.9487772808554087,0.0017244523886068533,enes
u:gZv_,9.0,526332.0,0.8551619827802391,1.1178878497198378e-05,enes
u:cn37,9.0,439594.0,0.7806963670409942,1.4400573425515114e-05,enes
u:ig_7,32.0,846658.0,0.9262263931110934,3.4620697516740355e-05,iten
u:hJBl,13.0,480002.0,0.20440794480093027,1.4782019678038963e-05,esen
u:fzL9,10.0,906946.0,0.8953105116195192,1.1372538174358216e-05,enes
u:icJh,7.0,25926.0,0.7276768742966462,0.0002633738536086859,esen
u:iaGm,24.0,936828.0,0.8997740370018082,2.8097086700592383e-05,enit
u:gd40,5.0,362258.0,0.4921521639931385,9.490783364505774e-06,enfr
u:haDG,12.0,642582.0,0.6390179241338708,1.2531511581540894e-05,enfr
u:hqB7,6.0,865287.0,0.7826695715674458,4.704085271651649e-06,enes
u:fiZ9,8.0,626165.0,0.7283334365145077,9.239511399244613e-06,esen
u:hKWR,19.0,865646.0,0.7338146760080533,2.3142270662902504e-05,enes
u:hjn7,5.0,2944.0,0.9535940126607183,0.0014575853979878217,iten
u:bMIF,20.0,862347.0,0.872089363565475,1.9270032893368693e-05,enes
u:fqBB,5.0,685237.0,0.8691295967733312,7.132167477445311e-06,esen
u:hTEh,18.0,777201.0,0.9327988536171063,1.8094093258383725e-05,enfr
u:foS4,29.0,257416.0,0.5651026420957391,7.423144338303118e-05,enfr
u:gI7c,27.0,85824.0,0.7815396909146564,0.00017712768311533737,enes
u:vdp,3.0,227202.0,0.6125535651611372,8.952281063323076e-06,esen
u:bDv,5.0,611709.0,0.43212350362133806,4.9368616888077e-06,enit
u:il2L,4.0,68644.0,0.7783785096490002,3.8506901634955974e-05,enes
u:fPPo,4.0,601060.0,0.8938034158953952,5.422458866974908e-06,pten
u:i4oL,13.0,342269.0,0.801813830833176,2.918922958730548e-05,enes
u:hQNv,9.0,773464.0,0.9488225349954743,9.612681612674182e-06,enes
u:bP4a,11.0,222195.0,0.6685704989855633,3.447439491861778e-05,ende
u:bYg5,22.0,701803.0,0.513056017003026,2.6568186449208358e-05,enfr
u:g4Hk,57.0,863029.0,0.9101774548359705,8.700745904600954e-05,enes
u:iUqg,61.0,714696.0,0.9177369688467898,8.619062089996355e-05,enes
u:i4MU,29.0,198147.0,0.1598695123769972,0.00010607391825148735,enes
u:h-BL,37.0,688534.0,0.8725571063689013,3.588973136574941e-05,enes
u:ODk,17.0,7658.0,0.9685713107895015,0.0019130800624447646,enes
u:cPko,7.0,4923.0,0.9666511648620534,0.0012232219738842818,enes
u:i83g,15.0,288351.0,0.7130946384207816,4.90763083820784e-05,esen
u:iDx5,22.0,663855.0,0.8781081376082247,2.541303900955195e-05,pten
u:i1ZV,8.0,233236.0,0.8260344883629309,2.3761705028572234e-05,enit
u:it4Y,15.0,476434.0,0.43482810196564275,2.886809507983574e-05,ende
u:hI97,34.0,908971.0,0.8879700732865542,3.5367800848759414e-05,enes
u:JIU,30.0,697033.0,0.801977478520134,2.5842225554096008e-05,enfr
u:ipMw,23.0,771355.0,0.6676947973528542,2.4599926841059314e-05,enit
u:h_em,4.0,728103.0,0.9220849565461277,4.998511732931289e-06,enes
u:fWqs,32.0,475971.0,0.7990560429076344,5.813719180305021e-05,pten
u:ilSH,4.0,1028.0,0.989646120160948,0.0037657767129412032,pten
u:h_G6,7.0,673173.0,0.9019275686547412,9.67285680231283e-06,enes
u:d-Ef,10.0,602821.0,0.8925253741300512,1.495535018505806e-05,esen
u:dBo6,72.0,946638.0,0.9467252012928006,7.05910716625034e-05,enes
u:hFT2,11.0,608346.0,0.9253785773774071,1.4640095477651222e-05,ende
u:Iov,21.0,865698.0,0.9684116907530679,2.507700034031475e-05,enit
u:hkt6,20.0,864039.0,0.8853404550304897,1.8778904566533262e-05,ende
u:i7iC,34.0,252252.0,0.6701638610460477,0.0001340714388628379,esen
u:gK6X,17.0,837527.0,0.752687564235398,1.3532443484618692e-05,enes
u:hTnY,86.0,566165.0,0.9146888155687253,0.0001245917877089436,enes
u:iyPR,16.0,772897.0,0.9151705566649061,1.819389636319897e-05,esen
u:hIs6,32.0,972751.0,0.8382819439858407,2.1294464803478946e-05,enes
u:erkO,13.0,843152.0,0.9146866233373052,1.2910961004131583e-05,esen
u:fVg8,7.0,937381.0,0.8689074889508229,7.206294091057729e-06,ende
u:6p7,11.0,405295.0,0.8114116484443294,2.8397286338829047e-05,enfr
u:idSl,61.0,25507.0,0.9864245276258807,0.002242048179802455,enpt
u:drSr,14.0,609260.0,0.8707092962838094,1.9006249876978393e-05,ende
u:iQJT,7.0,28904.0,0.5897720423362405,0.00014273981852774853,pten
u:bGsB,7.0,945218.0,0.7162955217262824,4.257764137263866e-06,enes
u:hPtS,15.0,504521.0,0.7656378883728832,2.430274363232439e-05,enes
u:iloM,19.0,97811.0,0.6529199617867801,0.00014245959562894994,pten
